Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripci√≥n,Identificadores,Cat√°logo de referencia,Detalle de relaci√≥n con cat√°logos,Identificador de valores nulos,Ejemplo de dato
ide_id,Num√©rico,0,0,N√∫mero de identificaci√≥n ,0,0,0,Vac√≠o,13468731
ide_sex,Num√©rico,n,0,Sexo del caso 1=Masculino 2= Femenino,0,0,0,Vac√≠o,1
ide_eda_ano,Num√©rico,0,0,Edad en a√±os del paciente,0,0,0,Vac√≠o,36
des_cal,Texto,0,0,Tipo de calle donde reside el caso,0,0,0,Vac√≠o,Terraser√≠a
ide_col,Texto,0,0,Colonia donde reside el caso,0,0,0,Vac√≠o,San Benito
des_jur_res,Texto,0,0,Jurisdicci√≥n donde reside el caso,0,0,0,Vac√≠o,Hermosillo
des_mpo_res,Texto,0,0,Municipio donde reside el caso,0,0,0,Vac√≠o,Hermosillo
cve_loc_res,Num√©rico,0,0,Clave de localidad de residencia,0,0,0,Vac√≠o,1
des_loc_res,Texto,0,0,Localidad donde reside el caso,0,0,0,Vac√≠o,Hermosillo
ide_cp,NumÈrico,nnnnn,,CÛdigo postal donde reside el caso,,,,VacÌo,83117
es_indigena,Num√©rico,n,0,El paciente es ind√≠gena 1=Si 2=No,0,0,0,Vac√≠o,2
lengua_indigena,Num√©rico,n,0,El paciente habla lengua ind√≠gena 1=Si 2=No,0,0,0,Vac√≠o,2
des_cual_lengua,Texto,0,0,Lengua que habla el paciente,0,0,0,Vac√≠o,Yaqui
des_ocupacion,Texto,0,0,Ocupaci√≥n del paciente,0,0,0,Vac√≠o,Desempleado
estatus_caso,Num√©rico,n,0,Estatus del caso del paciente 1=Probable 2=Confirmado 3=Descartado,0,0,0,Vac√≠o,1
fec_sol_aten,Fecha,aaaa-mm-dd,0,Fecha de la solicitud de atenci√≥n del paciente,0,0,0,Vac√≠o,44589
fec_ini_estudio,Fecha,aaaa-mm-dd,0,Fecha de inicio de estudios del paciente,0,0,0,Vac√≠o,44589
fec_fin_estudio,Fecha,aaaa-mm-dd,0,Fecha fin de estudios del paciente,0,0,0,Vac√≠o,44591
des_diag_final,Texto,0,0,Diagn√≥stico final del paciente,0,0,0,Vac√≠o,Otras Rickettsiosis
contacto_garrapata,Num√©rico,n,0,El paciente tuvo contacto con garrapatas 1=Si 0=No,0,0,0,Vac√≠o,1
contacto_otr,Texto,0,0,El paciente tuvo contacto con otro animal,0,0,0,Vac√≠o,Ratones
agua_potable,Num√©rico,n,0,Tiene acceso a agua potable 1=Si 2=No ,0,0,0,0,1
eliminacion_basura,Num√©rico,n,0,Tiene cobertura de eliminaci√≥n de basura (al menos un d√≠a a la semana) 1=Si 2=No,0,0,0,0,1
fec_ini_signos_sint,Fecha,aaaa-mm-dd,0,Fecha de inicio de signos y s√≠ntomas del cuadro cl√≠nico actual,0,0,0,Vac√≠o,44594
fec_ini_fiebre,Fecha,aaaa-mm-dd,0,Fecha de incio de fiebre,0,0,0,Vac√≠o,44594
temperatura,Num√©rico,0,Grados celcius,Temperatura del paciente,0,0,0,0,39
